v-sweep,i(Vout),v(V1),v(V2)
0.7,-0.000000757007207,0.7,0.9
0.7001,-0.000000756987243,0.7001,0.9
0.7002,-0.000000756967168,0.7002,0.9
0.7003,-0.000000756947085,0.7003,0.9
0.7004,-0.000000756926857,0.7004,0.9
0.7005,-0.000000756906655,0.7005,0.9
0.7006,-0.000000756886376,0.7006,0.9
0.7007,-0.000000756865971,0.7007,0.9
0.7008,-0.00000075684563,0.7008,0.9
0.7009,-0.0000007568252,0.7009,0.9
0.701,-0.000000756804653,0.701,0.9
0.7011,-0.000000756784132,0.7011,0.9
0.7012,-0.000000756763567,0.7012,0.9
0.7013,-0.000000756742878,0.7013,0.9
0.7014,-0.000000756722056,0.7014,0.9
0.7015,-0.000000756701333,0.7015,0.9
0.7016,-0.000000756680571,0.7016,0.9
0.7017,-0.000000756659611,0.7017,0.9
0.7018,-0.000000756638647,0.7018,0.9
0.7019,-0.000000756617592,0.7019,0.9
0.702,-0.000000756596558,0.702,0.9
0.7021,-0.000000756575471,0.7021,0.9
0.7022,-0.000000756554316,0.7022,0.9
0.7023,-0.000000756532994,0.7023,0.9
0.7024,-0.000000756511771,0.7024,0.9
0.7025,-0.000000756490433,0.7025,0.9
0.7026,-0.000000756468912,0.7026,0.9
0.7027,-0.000000756447525,0.7027,0.9
0.7028,-0.000000756425965,0.7028,0.9
0.7029,-0.000000756404477,0.7029,0.9
0.703,-0.000000756382851,0.703,0.9
0.7031,-0.000000756361098,0.7031,0.9
0.7032,-0.000000756339249,0.7032,0.9
0.7033,-0.000000756317474,0.7033,0.9
0.7034,-0.000000756295623,0.7034,0.9
0.7035,-0.00000075627368,0.7035,0.9
0.7036,-0.000000756251767,0.7036,0.9
0.7037,-0.000000756229687,0.7037,0.9
0.7038,-0.000000756207449,0.7038,0.9
0.7039,-0.000000756185308,0.7039,0.9
0.704,-0.000000756163121,0.704,0.9
0.7041,-0.000000756140791,0.7041,0.9
0.7042,-0.000000756118368,0.7042,0.9
0.7043,-0.000000756096064,0.7043,0.9
0.7044,-0.00000075607354,0.7044,0.9
0.7045,-0.000000756051026,0.7045,0.9
0.7046,-0.000000756028292,0.7046,0.9
0.7047,-0.000000756005715,0.7047,0.9
0.7048,-0.000000755982983,0.7048,0.9
0.7049,-0.000000755960192,0.7049,0.9
0.705,-0.000000755937387,0.705,0.9
0.7051,-0.000000755914487,0.7051,0.9
0.7052,-0.000000755891499,0.7052,0.9
0.7053,-0.000000755868392,0.7053,0.9
