frequency,tmag,tphase
1,28.5549544,-0.00396633767
1.12201845,28.5549544,-0.00445030406
1.25892541,28.5549544,-0.00499332328
1.41253754,28.5549543,-0.00560260087
1.58489319,28.5549543,-0.00628622156
1.77827941,28.5549543,-0.00705325659
1.99526231,28.5549543,-0.00791388404
2.23872114,28.5549543,-0.00887952393
2.51188643,28.5549543,-0.00996298969
2.81838293,28.5549542,-0.0111786583
3.16227766,28.5549542,-0.0125426608
3.54813389,28.5549541,-0.0140730969
3.98107171,28.5549541,-0.0157902743
4.46683592,28.554954,-0.017716979
5.01187234,28.5549539,-0.0198787773
5.62341325,28.5549537,-0.0223043547
6.30957344,28.5549536,-0.0250258973
7.07945784,28.5549533,-0.0280795181
7.94328235,28.5549531,-0.0315057369
8.91250938,28.5549527,-0.0353500173
10,28.5549523,-0.0396633704
11.2201845,28.5549518,-0.0445030318
12.5892541,28.5549511,-0.0499332203
14.1253754,28.5549502,-0.056025991
15.8489319,28.5549492,-0.0628621906
17.7827941,28.5549478,-0.0705325307
19.9526231,28.5549461,-0.0791387907
22.3872114,28.554944,-0.088795169
25.1188643,28.5549413,-0.0996297977
28.1838293,28.5549379,-0.111786442
31.6227766,28.5549336,-0.12542641
35.4813389,28.5549282,-0.140730689
39.8107171,28.5549214,-0.157902348
44.6683592,28.5549129,-0.177169232
50.1187234,28.5549022,-0.198786984
56.2341325,28.5548886,-0.223042433
63.0957344,28.5548716,-0.2502574
70.7945784,28.5548502,-0.280792959
79.4328235,28.5548232,-0.31505423
89.1250938,28.5547892,-0.353495739
100,28.5547465,-0.396627441
112.201845,28.5546926,-0.44502147
125.892541,28.5546249,-0.499319706
141.253754,28.5545395,-0.560242258
158.489319,28.5544321,-0.628596972
177.827941,28.5542969,-0.705290087
199.526231,28.5541267,-0.791338159
223.872114,28.5539124,-0.887881421
251.188643,28.5536426,-0.996198722
281.838293,28.5533031,-1.11772423
316.227766,28.5528756,-1.25406608
354.813389,28.5523375,-1.4070272
398.107171,28.5516602,-1.57862845
446.683592,28.5508077,-1.77113439
501.187234,28.5497346,-1.98708187
562.341325,28.5483841,-2.2293115
630.957344,28.5466845,-2.50100245
707.945784,28.5445458,-2.80571038
794.328235,28.5418548,-3.14740876
891.250938,28.5384694,-3.53053323
1000,28.534211,-3.96002877
1122.01845,28.5288562,-4.44139912
1258.92541,28.5221246,-4.98075663
1412.53754,28.5136644,-5.58487074
1584.89319,28.503037,-6.26121388
1778.27941,28.4896947,-7.01799747
1995.26231,28.4729559,-7.86419455
2238.72114,28.4519742,-8.80953935
2511.88643,28.4257025,-9.86449274
2818.38293,28.3928537,-11.0401615
3162.27766,28.3518502,-12.3481429
3548.13389,28.3007738,-13.8002825
3981.07171,28.2373147,-15.4083152
4466.83592,28.1587213,-17.1833565
5011.87234,28.0617577,-19.1352195
5623.41325,27.9426876,-21.2715567
6309.57344,27.7972853,-23.5968193
7079.45784,27.6208966,-26.1110888
7943.28235,27.4085612,-28.8088759
8912.50938,27.1552114,-31.6780591
10000,26.8559406,-34.699159
11220.1845,26.5063266,-37.8451698
