frequency,db(v(Vout)),180*cph(v(Vout))/pi
1,-0.0152932542,-0.000219333471
1.12201845,-0.0152932542,-0.000246096202
1.25892541,-0.0152932543,-0.000276124481
1.41253754,-0.0152932543,-0.000309816763
1.58489319,-0.0152932543,-0.000347620125
1.77827941,-0.0152932544,-0.000390036196
1.99526231,-0.0152932544,-0.00043762781
2.23872114,-0.0152932545,-0.000491026478
2.51188643,-0.0152932546,-0.00055094077
2.81838293,-0.0152932547,-0.000618165712
3.16227766,-0.0152932548,-0.000693593336
3.54813389,-0.0152932549,-0.000778224523
3.98107171,-0.0152932551,-0.000873182276
4.46683592,-0.0152932554,-0.000979726628
5.01187234,-0.0152932557,-0.00109927136
5.62341325,-0.0152932561,-0.00123340275
6.30957344,-0.0152932566,-0.00138390065
7.07945784,-0.0152932573,-0.00155276206
7.94328235,-0.0152932581,-0.00174222769
8.91250938,-0.0152932591,-0.00195481162
10,-0.0152932603,-0.00219333471
11.2201845,-0.0152932619,-0.00246096202
12.5892541,-0.0152932639,-0.0027612448
14.1253754,-0.0152932665,-0.00309816763
15.8489319,-0.0152932696,-0.00347620125
17.7827941,-0.0152932737,-0.00390036195
19.9526231,-0.0152932787,-0.00437627809
22.3872114,-0.0152932851,-0.00491026477
25.1188643,-0.0152932931,-0.00550940769
28.1838293,-0.0152933031,-0.00618165709
31.6227766,-0.0152933158,-0.00693593333
35.4813389,-0.0152933318,-0.00778224518
39.8107171,-0.0152933519,-0.0087318227
44.6683592,-0.0152933772,-0.00979726619
50.1187234,-0.015293409,-0.0109927134
56.2341325,-0.0152934491,-0.0123340273
63.0957344,-0.0152934996,-0.0138390062
70.7945784,-0.0152935631,-0.0155276203
79.4328235,-0.0152936431,-0.0174222764
89.1250938,-0.0152937438,-0.0195481155
100,-0.0152938706,-0.0219333461
112.201845,-0.0152940302,-0.0246096188
125.892541,-0.0152942311,-0.027612446
141.253754,-0.0152944841,-0.0309816734
158.489319,-0.0152948025,-0.0347620085
177.827941,-0.0152952034,-0.0390036138
199.526231,-0.0152957081,-0.0437627728
223.872114,-0.0152963435,-0.0491026364
251.188643,-0.0152971434,-0.0550940609
281.838293,-0.0152981504,-0.0618165483
316.227766,-0.0152994182,-0.0693593013
354.813389,-0.0153010142,-0.0778224067
398.107171,-0.0153030235,-0.0873181632
446.683592,-0.015305553,-0.0979725718
501.187234,-0.0153087375,-0.109927007
562.341325,-0.0153127466,-0.123340093
630.957344,-0.0153177936,-0.138389808
707.945784,-0.0153241475,-0.155275844
794.328235,-0.0153321465,-0.174222257
891.250938,-0.0153422167,-0.195480439
1000,-0.0153548942,-0.21933245
1122.01845,-0.0153708529,-0.24609476
1258.92541,-0.0153909453,-0.276122443
1412.53754,-0.01541624,-0.309813885
1584.89319,-0.0154480833,-0.347616061
1778.27941,-0.0154881715,-0.390030454
1995.26231,-0.0155386398,-0.437619699
2238.72114,-0.0156021748,-0.491015023
2511.88643,-0.0156821586,-0.550924589
2818.38293,-0.0157828504,-0.618142855
3162.27766,-0.0159096114,-0.693561051
3548.13389,-0.0160691833,-0.778178919
3981.07171,-0.0162700683,-0.87311786
4466.83592,-0.0165229576,-0.979635642
5011.87234,-0.0168413028,-1.09914284
5623.41325,-0.0172420398,-1.23322123
6309.57344,-0.0177464902,-1.38364426
7079.45784,-0.0183814696,-1.55239993
7943.28235,-0.0191807276,-1.74171623
8912.50938,-0.0201867312,-1.95408926
10000,-0.0214528796,-2.19231453
11220.1845,-0.0230463571,-2.45952129
12589.2541,-0.0250515713,-2.75921027
14125.3754,-0.0275746779,-3.09529478
15848.9319,-0.0307490269,-3.47214502
17782.7941,-0.0347419565,-3.89463554
19952.6231,-0.0397635445,-4.36819493
22387.2114,-0.0460771102,-4.89885698
25118.8643,-0.0540123992,-5.49331144
28183.8293,-0.0639817507,-6.15895189
31622.7766,-0.0764999832,-6.90391692
35481.3389,-0.0922083832,-7.7371191
39810.7171,-0.11190367,-8.6682542
44668.3592,-0.136572242,-9.70778009
50118.7234,-0.16743026,-10.8668516
56234.1325,-0.205969128,-12.157193
63095.7344,-0.254005466,-13.590887
70794.5784,-0.313733949,-15.180053
79432.8235,-0.38777846,-16.9363863
89125.0938,-0.479235451,-18.8705351
100000,-0.59170082,-20.9912931
112201.845,-0.72926784,-23.3046126
125892.541,-0.896481025,-25.8124725
141253.754,-1.09823159,-28.5116838
158489.319,-1.33958248,-31.392773
177827.941,-1.62551895,-34.4391454
199526.231,-1.96063642,-37.6267546
223872.114,-2.34879436,-40.9244915
251188.643,-2.79278281,-44.2954126
281838.293,-3.29405727,-47.6987712
316227.766,-3.85259279,-51.0926302
354813.389,-4.46688731,-54.436684
398107.171,-5.134114,-57.6948576
446683.592,-5.85039076,-60.8373178
501187.234,-6.61111598,-63.841681
562341.325,-7.41131509,-66.6933877
630957.344,-8.24595163,-69.3853709
707945.784,-9.11017474,-71.9172319
794328.235,-9.99949297,-74.2941536
891250.938,-10.9098781,-76.5257471
1000000,-11.8378114,-78.6249743
1122018.45,-12.780287,-80.6072254
1258925.41,-13.7347886,-82.4895876
