 frequency       db(v(Vout))     180*cph(v(Vout))/pi
 1.00000000e+00 -1.52932542e-02 -2.19333471e-04 
 1.12201845e+00 -1.52932542e-02 -2.46096202e-04 
 1.25892541e+00 -1.52932543e-02 -2.76124481e-04 
 1.41253754e+00 -1.52932543e-02 -3.09816763e-04 
 1.58489319e+00 -1.52932543e-02 -3.47620125e-04 
 1.77827941e+00 -1.52932544e-02 -3.90036196e-04 
 1.99526231e+00 -1.52932544e-02 -4.37627810e-04 
 2.23872114e+00 -1.52932545e-02 -4.91026478e-04 
 2.51188643e+00 -1.52932546e-02 -5.50940770e-04 
 2.81838293e+00 -1.52932547e-02 -6.18165712e-04 
 3.16227766e+00 -1.52932548e-02 -6.93593336e-04 
 3.54813389e+00 -1.52932549e-02 -7.78224523e-04 
 3.98107171e+00 -1.52932551e-02 -8.73182276e-04 
 4.46683592e+00 -1.52932554e-02 -9.79726628e-04 
 5.01187234e+00 -1.52932557e-02 -1.09927136e-03 
 5.62341325e+00 -1.52932561e-02 -1.23340275e-03 
 6.30957344e+00 -1.52932566e-02 -1.38390065e-03 
 7.07945784e+00 -1.52932573e-02 -1.55276206e-03 
 7.94328235e+00 -1.52932581e-02 -1.74222769e-03 
 8.91250938e+00 -1.52932591e-02 -1.95481162e-03 
 1.00000000e+01 -1.52932603e-02 -2.19333471e-03 
 1.12201845e+01 -1.52932619e-02 -2.46096202e-03 
 1.25892541e+01 -1.52932639e-02 -2.76124480e-03 
 1.41253754e+01 -1.52932665e-02 -3.09816763e-03 
 1.58489319e+01 -1.52932696e-02 -3.47620125e-03 
 1.77827941e+01 -1.52932737e-02 -3.90036195e-03 
 1.99526231e+01 -1.52932787e-02 -4.37627809e-03 
 2.23872114e+01 -1.52932851e-02 -4.91026477e-03 
 2.51188643e+01 -1.52932931e-02 -5.50940769e-03 
 2.81838293e+01 -1.52933031e-02 -6.18165709e-03 
 3.16227766e+01 -1.52933158e-02 -6.93593333e-03 
 3.54813389e+01 -1.52933318e-02 -7.78224518e-03 
 3.98107171e+01 -1.52933519e-02 -8.73182270e-03 
 4.46683592e+01 -1.52933772e-02 -9.79726619e-03 
 5.01187234e+01 -1.52934090e-02 -1.09927134e-02 
 5.62341325e+01 -1.52934491e-02 -1.23340273e-02 
 6.30957344e+01 -1.52934996e-02 -1.38390062e-02 
 7.07945784e+01 -1.52935631e-02 -1.55276203e-02 
 7.94328235e+01 -1.52936431e-02 -1.74222764e-02 
 8.91250938e+01 -1.52937438e-02 -1.95481155e-02 
 1.00000000e+02 -1.52938706e-02 -2.19333461e-02 
 1.12201845e+02 -1.52940302e-02 -2.46096188e-02 
 1.25892541e+02 -1.52942311e-02 -2.76124460e-02 
 1.41253754e+02 -1.52944841e-02 -3.09816734e-02 
 1.58489319e+02 -1.52948025e-02 -3.47620085e-02 
 1.77827941e+02 -1.52952034e-02 -3.90036138e-02 
 1.99526231e+02 -1.52957081e-02 -4.37627728e-02 
 2.23872114e+02 -1.52963435e-02 -4.91026364e-02 
 2.51188643e+02 -1.52971434e-02 -5.50940609e-02 
 2.81838293e+02 -1.52981504e-02 -6.18165483e-02 
 3.16227766e+02 -1.52994182e-02 -6.93593013e-02 
 3.54813389e+02 -1.53010142e-02 -7.78224067e-02 
 3.98107171e+02 -1.53030235e-02 -8.73181632e-02 
 4.46683592e+02 -1.53055530e-02 -9.79725718e-02 
 5.01187234e+02 -1.53087375e-02 -1.09927007e-01 
 5.62341325e+02 -1.53127466e-02 -1.23340093e-01 
 6.30957344e+02 -1.53177936e-02 -1.38389808e-01 
 7.07945784e+02 -1.53241475e-02 -1.55275844e-01 
 7.94328235e+02 -1.53321465e-02 -1.74222257e-01 
 8.91250938e+02 -1.53422167e-02 -1.95480439e-01 
 1.00000000e+03 -1.53548942e-02 -2.19332450e-01 
 1.12201845e+03 -1.53708529e-02 -2.46094760e-01 
 1.25892541e+03 -1.53909453e-02 -2.76122443e-01 
 1.41253754e+03 -1.54162400e-02 -3.09813885e-01 
 1.58489319e+03 -1.54480833e-02 -3.47616061e-01 
 1.77827941e+03 -1.54881715e-02 -3.90030454e-01 
 1.99526231e+03 -1.55386398e-02 -4.37619699e-01 
 2.23872114e+03 -1.56021748e-02 -4.91015023e-01 
 2.51188643e+03 -1.56821586e-02 -5.50924589e-01 
 2.81838293e+03 -1.57828504e-02 -6.18142855e-01 
 3.16227766e+03 -1.59096114e-02 -6.93561051e-01 
 3.54813389e+03 -1.60691833e-02 -7.78178919e-01 
 3.98107171e+03 -1.62700683e-02 -8.73117860e-01 
 4.46683592e+03 -1.65229576e-02 -9.79635642e-01 
 5.01187234e+03 -1.68413028e-02 -1.09914284e+00 
 5.62341325e+03 -1.72420398e-02 -1.23322123e+00 
 6.30957344e+03 -1.77464902e-02 -1.38364426e+00 
 7.07945784e+03 -1.83814696e-02 -1.55239993e+00 
 7.94328235e+03 -1.91807276e-02 -1.74171623e+00 
 8.91250938e+03 -2.01867312e-02 -1.95408926e+00 
 1.00000000e+04 -2.14528796e-02 -2.19231453e+00 
 1.12201845e+04 -2.30463571e-02 -2.45952129e+00 
 1.25892541e+04 -2.50515713e-02 -2.75921027e+00 
 1.41253754e+04 -2.75746779e-02 -3.09529478e+00 
 1.58489319e+04 -3.07490269e-02 -3.47214502e+00 
 1.77827941e+04 -3.47419565e-02 -3.89463554e+00 
 1.99526231e+04 -3.97635445e-02 -4.36819493e+00 
 2.23872114e+04 -4.60771102e-02 -4.89885698e+00 
 2.51188643e+04 -5.40123992e-02 -5.49331144e+00 
 2.81838293e+04 -6.39817507e-02 -6.15895189e+00 
 3.16227766e+04 -7.64999832e-02 -6.90391692e+00 
 3.54813389e+04 -9.22083832e-02 -7.73711910e+00 
 3.98107171e+04 -1.11903670e-01 -8.66825420e+00 
 4.46683592e+04 -1.36572242e-01 -9.70778009e+00 
 5.01187234e+04 -1.67430260e-01 -1.08668516e+01 
 5.62341325e+04 -2.05969128e-01 -1.21571930e+01 
 6.30957344e+04 -2.54005466e-01 -1.35908870e+01 
 7.07945784e+04 -3.13733949e-01 -1.51800530e+01 
 7.94328235e+04 -3.87778460e-01 -1.69363863e+01 
 8.91250938e+04 -4.79235451e-01 -1.88705351e+01 
 1.00000000e+05 -5.91700820e-01 -2.09912931e+01 
 1.12201845e+05 -7.29267840e-01 -2.33046126e+01 
 1.25892541e+05 -8.96481025e-01 -2.58124725e+01 
 1.41253754e+05 -1.09823159e+00 -2.85116838e+01 
 1.58489319e+05 -1.33958248e+00 -3.13927730e+01 
 1.77827941e+05 -1.62551895e+00 -3.44391454e+01 
 1.99526231e+05 -1.96063642e+00 -3.76267546e+01 
 2.23872114e+05 -2.34879436e+00 -4.09244915e+01 
 2.51188643e+05 -2.79278281e+00 -4.42954126e+01 
 2.81838293e+05 -3.29405727e+00 -4.76987712e+01 
 3.16227766e+05 -3.85259279e+00 -5.10926302e+01 
 3.54813389e+05 -4.46688731e+00 -5.44366840e+01 
 3.98107171e+05 -5.13411400e+00 -5.76948576e+01 
 4.46683592e+05 -5.85039076e+00 -6.08373178e+01 
 5.01187234e+05 -6.61111598e+00 -6.38416810e+01 
 5.62341325e+05 -7.41131509e+00 -6.66933877e+01 
 6.30957344e+05 -8.24595163e+00 -6.93853709e+01 
 7.07945784e+05 -9.11017474e+00 -7.19172319e+01 
 7.94328235e+05 -9.99949297e+00 -7.42941536e+01 
 8.91250938e+05 -1.09098781e+01 -7.65257471e+01 
 1.00000000e+06 -1.18378114e+01 -7.86249743e+01 
 1.12201845e+06 -1.27802870e+01 -8.06072254e+01 
 1.25892541e+06 -1.37347886e+01 -8.24895876e+01 
 1.41253754e+06 -1.46992499e+01 -8.42903081e+01 
 1.58489319e+06 -1.56720088e+01 -8.60284338e+01 
 1.77827941e+06 -1.66517630e+01 -8.77236055e+01 
 1.99526231e+06 -1.76375295e+01 -8.93959830e+01 
 2.23872114e+06 -1.86286119e+01 -9.10662816e+01 
 2.51188643e+06 -1.96245774e+01 -9.27559065e+01 
 2.81838293e+06 -2.06252457e+01 -9.44871782e+01 
 3.16227766e+06 -2.16306925e+01 -9.62836509e+01 
 3.54813389e+06 -2.26412727e+01 -9.81705294e+01 
 3.98107171e+06 -2.36576728e+01 -1.00175182e+02 
 4.46683592e+06 -2.46810050e+01 -1.02327720e+02 
 5.01187234e+06 -2.57129596e+01 -1.04661521e+02 
 5.62341325e+06 -2.67560143e+01 -1.07213438e+02 
 6.30957344e+06 -2.78136484e+01 -1.10023401e+02 
 7.07945784e+06 -2.88904352e+01 -1.13133619e+02 
 7.94328235e+06 -2.99919421e+01 -1.16588858e+02 
 8.91250938e+06 -3.11246726e+01 -1.20439554e+02 
 1.00000000e+07 -3.22964857e+01 -1.24747141e+02 
 1.12201845e+07 -3.35175671e+01 -1.29588862e+02 
 1.25892541e+07 -3.48016539e+01 -1.35061290e+02 
 1.41253754e+07 -3.61673346e+01 -1.41284437e+02 
